,CS201,CH201,M201,ME201,ES201,CS291,CH291,ES291,ME291,HU301,PH301,CH301,CS301,CS302,CS303,PH391,CS391,CS392,CS393,M(CS)401,M401,CS401,CS402,CS403,HU481,M(CS)491,CS491,CS492,CS493,HU501,CS501,CS502,CS503,CS504D,CS591,CS592,CS593,CS594D,HU601,CS601,CS602,CS603,CS604A/ CS604B,CS605A,CS691,CS692,CS693,CS681
10900113100,8,8,7,8,8,8,9,9,9,7,8,9,6,9,8,9,9,9,8,10,8,9,8,8,9,10,9,8,10,8,8,8,7,9,9,9,9,9,8,8,8,7,8,9,8,9,9,9
10900113101,9,9,7,8,7,8,9,10,8,8,8,9,7,8,7,7,8,9,9,9,8,8,7,7,9,10,9,10,10,7,9,9,8,8,10,8,10,10,8,8,9,7,8,10,9,10,10,10
10900113102,8,9,7,9,8,9,9,9,10,8,9,9,7,7,8,8,9,9,9,9,8,9,7,6,9,10,9,9,9,8,9,10,7,9,10,9,10,10,8,8,9,7,9,10,10,10,10,10
10900113103,9,5,7,5,5,9,7,9,10,8,6,8,6,7,6,7,7,8,7,9,6,5,6,6,8,8,9,9,9,6,7,5,7,7,9,7,9,8,7,5,5,5,7,7,8,9,7,7
10900113104,9,6,6,6,7,10,7,9,7,8,6,7,5,6,6,6,8,8,8,7,5,6,4,5,7,7,8,8,9,8,6,6,6,8,9,7,9,8,7,7,6,5,5,6,7,7,6,8
10900113105,10,8,6,6,8,10,7,9,6,8,7,8,6,6,7,8,9,8,8,9,8,9,7,6,8,8,8,9,8,8,7,6,7,8,9,8,10,9,8,7,7,6,8,7,8,10,9,9
10900113106,10,6,8,5,7,10,8,9,8,8,6,9,6,7,6,8,9,9,9,9,7,6,7,7,10,8,9,9,9,6,7,6,8,9,10,8,8,9,8,8,7,7,8,9,8,9,9,9
10900113107,5,4,4,4,4,6,6,7,4,5,4,4,4,4,4,6,6,7,7,4,4,4,4,4,6,7,8,8,7,4,4,4,4,5,6,7,8,6,4,4,4,4,4,4,7,7,6,6
10900113108,10,9,9,8,7,9,9,10,10,8,9,8,7,8,8,10,9,10,10,10,9,9,8,7,9,9,10,10,10,8,8,7,8,9,10,10,10,10,9,8,7,8,9,9,10,10,10,9
10900113109,9,8,8,6,7,9,8,9,8,8,8,7,6,9,7,8,8,10,9,10,8,9,7,8,9,9,9,9,10,8,8,6,7,9,10,10,9,9,8,8,9,8,9,10,10,10,10,7
10900113110,9,8,9,8,7,10,8,10,10,8,9,6,6,9,7,9,9,10,10,10,8,8,7,8,9,9,9,10,9,8,9,7,7,9,10,10,9,10,8,8,8,9,8,10,10,10,10,10
10900113111,10,9,9,9,8,10,10,10,10,8,9,7,8,10,8,10,9,10,10,10,9,10,9,9,10,10,10,10,10,9,9,9,9,10,10,10,9,10,9,10,9,9,9,10,10,10,10,10
10900113112,9,8,9,8,6,9,9,9,9,7,8,7,7,8,6,9,9,9,9,10,8,9,8,8,9,9,9,9,9,7,9,8,7,9,10,10,9,9,7,8,7,7,8,9,9,10,10,8
10900113113,4,7,5,6,6,9,9,9,8,6,7,5,5,6,5,8,8,9,8,9,6,7,6,7,8,9,9,8,9,6,7,6,7,8,8,7,10,8,7,7,7,6,8,8,7,9,8,7
10900113114,9,8,9,7,7,10,8,10,8,7,7,6,7,8,8,9,8,9,10,10,8,9,6,8,8,9,9,10,9,7,9,7,6,9,9,10,10,10,8,8,8,6,7,7,9,9,9,9
10900113115,6,7,6,6,5,8,8,8,8,7,5,4,4,8,6,7,8,8,9,7,6,5,5,6,6,7,9,8,8,6,7,6,5,7,8,8,8,6,7,7,6,5,6,8,8,8,8,7
10900113116,8,7,6,7,5,9,8,8,9,8,6,6,5,6,7,6,9,9,9,9,6,7,5,6,9,10,8,10,8,7,7,6,6,7,9,9,10,9,8,7,7,5,7,7,8,9,9,10
10900113117,9,8,6,6,6,10,8,9,10,7,7,6,7,8,6,8,9,9,8,10,7,6,6,7,8,10,8,9,9,6,7,8,8,9,9,10,10,9,8,7,6,6,7,8,9,10,8,7
