,ROLL NO.,HU601,CS601,CS602,CS603,CS604A/ CS604B,CS605A,CS691,CS692,CS693,CS681,SGPA5,SGPA6,YGPA,RESULT
62,10900113018,A,E,A,E,A,O,O,O,O,O,9.04,9.15,9.1,P
63,10900113019,A,B,C,B,D,C,E,B,E,A,8.08,6.96,7.52,P
64,10900113020,A,A,C,B,B,B,E,A,A,A,7.35,7.46,7.4,P
65,10900113021,A,B,D,A,B,E,E,E,O,E,7.62,7.96,7.79,P
66,10900113022,A,B,B,B,B,E,E,A,O,A,8.62,7.92,8.27,P
67,10900113023,A,A,B,A,B,O,O,A,E,E,8.58,8.38,8.48,P
68,10900113065,A,C,B,B,D,A,B,A,A,A,7.23,7.12,7.17,P
69,10900113066,B,C,B,C,C,O,B,E,O,A,7.23,7.58,7.4,P
70,10900113067,A,B,C,C,C,E,E,E,O,E,8.12,7.73,7.92,P
71,10900113068,A,B,B,C,B,B,E,E,B,A,7.31,7.35,7.33,P
72,10900113069,A,A,B,E,A,O,O,O,O,E,9.35,8.85,9.1,P
73,10900113070,A,B,C,C,C,A,B,A,B,A,7.35,7.04,7.19,P
74,10900113071,A,A,C,B,C,B,A,E,E,E,8.15,7.5,7.83,P
75,10900113072,A,B,B,B,C,A,E,E,O,E,8.23,7.81,8.02,P
76,10900113073,B,C,B,C,D,C,A,A,B,A,6.58,6.62,6.6,P
77,10900113074,B,B,C,D,D,F,E,E,E,A,6.46,6.19,6.33,XP
78,10900113075,B,B,C,D,D,C,E,A,A,B,7.04,6.58,6.81,P
79,10900113076,B,B,A,B,B,A,E,O,O,E,8.54,8.04,8.29,P
80,10900113077,B,C,C,D,C,B,E,E,E,E,7.85,7.04,7.44,P
81,10900113078,B,C,B,D,C,C,A,A,A,A,6.54,6.69,6.62,P
82,10900113079,E,B,A,B,A,O,E,O,O,O,9.04,8.69,8.87,P
83,10900113080,A,B,B,A,B,A,E,O,O,E,8.81,8.12,8.46,P
84,10900113081,C,B,C,C,C,B,A,O,E,A,7.12,7.12,7.12,P
85,10900113082,B,D,D,D,D,D,A,A,B,B,5.46,5.92,5.69,XP
86,10900113083,E,E,E,E,E,O,O,O,O,E,9.85,9.38,9.62,P
87,10900113084,B,A,A,C,C,E,O,E,O,B,8.38,7.92,8.15,P
88,10900114130,B,D,C,D,I,F,B,B,B,B,5.65,5.08,5.37,XP
89,10900114131,B,C,D,D,C,E,B,A,B,B,6.35,6.69,6.52,P
90,10900114132,C,D,D,D,D,D,A,A,A,E,4.81,6.08,5.44,XP
91,10900114133,B,A,B,B,A,E,A,A,E,A,7.38,7.92,7.65,P
92,10900114134,B,C,D,F,D,D,B,B,B,A,5.08,5.62,5.35,XP
93,10900114135,B,B,C,C,B,A,E,E,A,A,7.69,7.38,7.54,P
94,10900114136,C,F,F,F,F,F,B,A,A,B,4.31,4.0,4.15,XP
95,10900114137,B,D,B,C,B,A,A,E,B,B,7.04,7.04,7.04,P
96,10900114138,B,B,B,A,A,O,E,A,O,A,8.19,8.23,8.21,P
97,10900114139,C,B,B,B,B,O,E,E,E,A,7.92,7.92,7.92,P
98,10900114140,B,B,B,C,A,B,B,E,A,A,6.31,7.31,6.81,XP
99,10900114141,B,A,C,A,D,E,A,E,E,E,7.35,7.73,7.54,P
100,10900114142,B,B,A,A,C,E,A,E,O,A,6.81,7.96,7.38,P
101,10900114143,C,F,F,F,F,F,A,B,A,B,4.69,4.0,4.35,XP
102,10900114144,A,A,A,A,A,E,E,O,O,O,8.04,8.69,8.37,P
103,10900213018,A,A,A,E,A,O,E,O,O,O,8.73,8.96,8.85,P
104,10900213021,A,A,A,E,A,O,O,O,O,E,8.46,8.96,8.71,P
105,10900213035,A,A,A,E,E,O,E,O,O,E,8.58,9.0,8.79,P
106,10900213038,A,A,B,A,A,E,E,E,E,A,7.85,8.27,8.06,P
107,10900213057,B,A,A,A,E,O,O,O,O,E,8.5,8.88,8.69,P
108,10900113085,A,B,B,B,B,A,A,E,B,B,7.77,7.46,7.62,P
109,10900113086,A,B,A,B,A,A,E,O,O,A,8.65,8.15,8.4,P
110,10900113087,B,A,B,A,A,E,E,E,E,A,7.88,8.19,8.04,P
111,10900113088,B,B,B,C,B,A,A,A,E,E,8.12,7.5,7.81,P
112,10900113089,B,B,B,A,B,O,A,E,E,A,8.35,8.04,8.19,P
113,10900113091,A,B,C,B,B,A,A,A,A,A,7.12,7.42,7.27,P
114,10900113092,A,A,A,A,B,O,E,E,O,A,8.35,8.5,8.42,P
115,10900113093,A,B,B,A,A,O,E,O,E,E,8.23,8.46,8.35,P
116,10900113094,A,B,C,C,B,A,E,E,E,A,7.69,7.54,7.62,P
117,10900113096,B,B,C,D,D,C,A,A,B,E,7.15,6.58,6.87,P
118,10900113097,B,B,B,C,C,B,A,E,E,E,6.92,7.31,7.12,P
119,10900113099,A,B,B,F,B,C,A,A,B,A,7.58,6.58,7.08,XP
120,10900113100,A,A,A,B,A,E,A,E,E,E,8.35,8.27,8.31,P
121,10900113101,A,A,E,B,A,O,E,O,O,O,8.65,8.85,8.75,P
122,10900113102,A,A,E,B,E,O,O,O,O,O,9.04,9.04,9.04,P
123,10900113103,B,D,D,D,B,B,A,E,B,B,6.96,6.54,6.75,P
124,10900113104,B,B,C,D,D,C,B,B,C,A,7.23,6.27,6.75,P
125,10900113105,A,B,B,C,A,B,A,O,E,E,7.73,7.69,7.71,P
126,10900113106,A,A,B,B,A,E,A,E,E,E,7.69,8.15,7.92,P
127,10900113107,F,F,F,F,F,F,B,B,C,C,3.92,3.38,3.65,XP
128,10900113108,E,A,B,A,E,E,O,O,O,E,8.62,8.77,8.69,P
129,10900113109,A,A,E,A,E,O,O,O,O,B,8.19,8.92,8.56,P
130,10900113110,A,A,A,E,A,O,O,O,O,O,8.58,9.04,8.81,P
131,10900113111,E,O,E,E,E,O,O,O,O,O,9.38,9.58,9.48,P
132,10900113112,B,A,B,B,A,E,E,O,O,A,8.54,8.23,8.38,P
133,10900113113,B,B,B,C,A,A,B,E,A,B,7.27,7.38,7.33,P
134,10900113114,A,A,A,C,B,B,E,E,E,E,8.35,7.81,8.08,P
135,10900113115,B,B,C,D,C,A,A,A,A,B,6.65,6.92,6.79,P
136,10900113116,A,B,B,D,B,B,A,E,E,O,7.42,7.46,7.44,P
137,10900113117,A,B,C,C,B,A,E,O,A,B,8.23,7.46,7.85,P
138,10900113120,C,D,D,C,C,C,A,A,A,B,6.5,6.31,6.4,P
139,10900113122,D,C,D,C,D,D,B,A,B,B,5.42,5.92,5.67,XP
140,10900113126,D,D,F,F,F,C,B,B,B,B,5.62,4.73,5.17,XP
141,10900113127,C,C,D,C,F,C,A,B,A,B,5.65,5.88,5.77,XP
142,10900113128,D,D,F,F,F,C,B,B,B,B,4.88,4.73,4.81,XP
143,10900114124,B,A,A,A,B,A,E,A,E,B,6.88,7.88,7.38,P
144,10900114126,D,C,D,C,D,B,A,A,A,B,6.73,6.38,6.56,P
145,10900114127,B,B,B,A,C,E,E,A,O,A,7.88,7.85,7.87,P
146,10900114128,B,C,C,C,B,D,B,B,B,C,6.62,6.27,6.44,P
147,10900114129,A,B,C,C,C,C,A,A,A,A,6.04,6.88,6.46,XP
148,10900213073,A,A,A,E,E,O,O,O,O,O,8.54,9.15,8.85,P
149,10900313013,B,B,A,B,A,O,O,O,E,E,8.96,8.46,8.71,P
